통화,현찰_사실_때_환율,현찰_사실_때_Spread,현찰_파실_때_환율,현찰_파실_때_Spread,송금_보낼_때,송금_받을_때,외화_수표_파실때,매매_기준율,환가_료율,미화_환산율
인도네시아 IDR (100),9.49,10.0,7.77,10.0,8.71,8.55,8.54,8.63,7.06666,0.006
체코 CZK,74.32,8.5,62.34,9.0,69.25,67.75,0.0,68.5,5.46433,0.0477
칠레 CLP,1.66,10.0,1.36,10.0,1.52,1.5,0.0,1.51,5.838,0.0011
카자흐스탄 KZT,0.0,0.0,0.0,0.0,2.7,2.64,0.0,2.67,19.975,0.0019
카타르 QAR,0.0,0.0,0.0,0.0,398.44,389.0,0.0,393.72,3.355,0.2744
케냐 KES,0.0,0.0,0.0,0.0,11.24,10.98,0.0,11.11,10.105,0.0077
콜롬비아 COP,0.0,0.0,0.0,0.0,0.38,0.36,0.0,0.37,2.975,0.0003
쿠웨이트 KWD,4983.79,6.5,4305.26,8.0,4726.41,4632.83,4626.87,4679.62,4.587,3.2608
탄자니아 TZS,0.0,0.0,0.0,0.0,0.58,0.56,0.0,0.57,10.04833,0.0004
튀르키예 TRY,0.0,0.0,0.0,0.0,34.55,33.81,0.0,34.18,40.53833,0.0238
파키스탄 PKR,0.0,0.0,0.0,0.0,5.13,5.01,0.0,5.07,18.375,0.0035
폴란드 PLN,424.42,8.0,361.56,8.0,397.31,388.67,0.0,392.99,7.15033,0.2738
헝가리 HUF,4.66,9.3,3.93,8.0,4.31,4.23,0.0,4.27,8.515,0.003
네팔 NPR,0.0,0.0,0.0,0.0,10.31,10.07,0.0,10.19,2.975,0.0071
마카오 MOP,0.0,0.0,0.0,0.0,181.38,177.08,0.0,179.23,5.48866,0.1249
캄보디아 KHR,0.0,0.0,0.0,0.0,0.37,0.35,0.0,0.36,2.975,0.0003
피지 FJD,0.0,0.0,0.0,0.0,631.76,616.78,0.0,624.27,1.975,0.435
리비아 LYD,0.0,0.0,0.0,0.0,267.01,260.69,0.0,263.85,2.975,0.1839
루마니아 RON,0.0,0.0,0.0,0.0,331.07,323.87,0.0,327.47,8.075,0.2282
미얀마 MMK,0.0,0.0,0.0,0.0,0.7,0.66,0.0,0.68,1.975,0.0005
에티오피아 ETB,0.0,0.0,0.0,0.0,9.59,9.37,0.0,9.48,2.975,0.0066
우즈베키스탄 UZS,0.0,0.0,0.0,0.0,0.13,0.11,0.0,0.12,17.475,0.0001
