제목,저자,역자,글그림,그림,기획,감수,글,출판사,출간일,가격,평점,리뷰수,상세페이지링크,페이지수,카테고리,책 설명
AI 엔지니어링,칩 후옌,,,,,,,한빛미디어,2025년 09월,36000,10.0,4,https://www.yes24.com/product/goods/154925812,580,국내도서 IT 모바일 컴퓨터 공학 컴퓨터 교육,"최고의 AI 전문가 칩 후옌이 엔비디아, 스노클 AI, 스탠퍼드에서 쌓은 현장 경험과 노하우!모델 활용을 넘어서, 실전으로 통하는 AI 서비스 설계 가이드“프로덕트 레벨에 맞는 설계란 무엇일까요?”파운데이션 모델을 활용해 누구나 손쉽게 AI 애플리케이션을 만들 수 있는 시대가 되었습니다. 하지만 실제 프로덕트 레벨의 시스템을 구축하려면 단순한 API 호출이나 프롬프트 작성만으로는 충분하지 않습니다. 아이디어를 사용자가 만족하는 서비스로 완성하기 위해서 빠르게 변화하는 모델 환경과 기술 스택, 늘어나는 활용 가능성과 그에 따른 리스크 속에서 AI 애플리케이션을 안정적이고 효과적으로 설계하고 운영해야 합니다.이 책은 현업의 이러한 고민에 명쾌한 해답을 제시하는 AI 엔지니어링 실전 가이드입니다. 프롬프트 엔지니어링, RAG, 파인튜닝, 에이전트, 데이터셋 설계 등의 다양한 기법부터 평가 지표 설계, 인프라 최적화, 사용자 피드백을 통한 개선 루프 구축까지, AI 모델을 실제 서비스로 연결하기 위한 전 과정을 체계적으로 설명합니다. 파운데이션 모델을 ‘어떻게 쓸 것인가’에 그치지 않고, 어떤 문제를 해결할 수 있는지, 또 이를 어떤 방식으로 설계하고 발전시킬 수 있도록 가이드합니다.파운데이션 모델을 사용하는 단계를 넘어 신뢰받는 AI 프로덕트를 설계, 운영, 개선하고자 고민하는 모든분께 이 책을 추천합니다."
하반기 한국전력공사 KEPCO NCS+전공 봉투모의고사 6+5회,해커스 NCS 취업교육연구소,,,,,,,해커스공기업,2024년 07월,21600,9.8,25,https://www.yes24.com/product/goods/128711566,388,국내도서 수험서 자격증 취업 상식 적성검사 공사 공단 NCS 한국전력공사,한국전력공사 필기시험의 최신 출제경향 전격 반영!최신 기출유형을 담은 직업기초능력평가+전공 모의고사로 한국전력공사 단번에 합격!한국전력공사 필기시험의 최신 출제경향 및 기출 유형을 철하게 분석하여 반영하였다. [NCS 모의고사 6회분 + 전공(전기) 모의고사 5회분]으로 시험 전 최종 마무리가 가능하다. [약점 보완 해설집]을 통해 취약한 부분을 극복하고 단번에 합격할 수 있다. [무료 바로 채점 및 성적 분석 서비스]로 자신의 성적 위치를 파악하고 학습 방향을 확인할 수 있다.
기억 전달자,로이스 라우리,,,,,,,비룡소,2024년 03월,14400,9.9,56,https://www.yes24.com/product/goods/125707989,340,국내도서 청소년 청소년 문학,"현재와 미래 사회에 날카로운 질문을 던지는청소년이 꼭 읽어야 할 현대 고전 SF 30만 부 기념 개정판 2007년 국내에 출간된 후 17년 동안 스테디셀러로 사랑받으며 청소년이 꼭 읽어야 할 현대 고전 SF로 자리 잡은 로이스 로리의 소설 『기억 전달자』가 국내 누적 판매 30만 부를 기념해 개정판으로 출간되었다. 출산, 직업, 감정 등 모든 것이 완벽히 통제된 미래 사회를 그린 이 작품은 1993년 출간한 그해 보스턴 글로브 혼 북 명예상, 이듬해인 1994년에 뉴베리상을 수상하여 작품성을 인정받았으며, 현재에 이르러 미국뿐만 아니라 세계 곳곳의 청소년들에게 필독서로 손꼽히는 새로운 고전으로 자리매김하고 있다. 2014년에는 필립 노이스 감독의 영화로 개봉되어 화제가 되었고, 2020년에는 아이스너 상 수상 작가 크레이그 러셀이 각색과 그림을 맡아 그래픽노블로도 출간되었다. 이번 개정판은 표지를 새롭게 입혔을 뿐만 아니라, 작가의 뉴베리상 수락 연설 원고를 추가로 수록했다. 『기억 전달자』가 탄생하기까지의 과정을 작은 기억의 물줄기들이 흘러들어 강물로 흐르는 모습에 빗댄 작가의 소감문이 그 자체로 아름답고 감동적으로 다가온다. 글쓰기를 희망하는 이들에게도 좋은 지침이 될 만한 내용이다. 로이스 로리는 이 글을 통해 강연이나 독자와의 만남을 할 때마다 『기억 전달자』의 열린 결말에 대한 질문을 가장 많이 받았다고 회고한다. 그리고 그에 대해 이렇게 답한다. “작품의 결말은 각자 자신의 신념과 희망에 따라 달라집니다.” 작가의 응답에 『기억 전달자』가 변화하는 세상 속에서도 끊임없이 새롭게 읽히는 이유가 있다. 우리가 지금 속한 세계는 어떤 곳인가? 그 커뮤니티 안에서 우리는 어떤 선택과 자세를 취할 것인가? 미래 소설의 고전으로 자리 잡은 『1984』, 『멋진 신세계』, 『시녀 이야기』의 뒤를 잇는 SF 명작으로 손꼽힐 만큼 흥미롭고 생생하게 그려낸 세계관을 통해 『기억 전달자』는 독자들에게 현재와 촘촘하게 맞닿은 깊고 넓은 질문들을 던진다. “기억의 강을 통해 제가 배운 게 있다면, 우리는 벽으로 둘러싸인 세상, 즉 우리 모두 ‘늘 같음’ 상태로 안전하다고 느끼는 ‘오직 우리, 오직 지금’이라는 세상에서 살 수 없다는 겁니다.” -「뉴베리상 수락 연설」 중에서"
나뭇잎을 찾으면,에이미 시쿠로,,,,,,,FIKAJUNIOR(피카주니어),2023년 05월,13500,10.0,26,https://www.yes24.com/product/goods/118856681,양,국내도서 유아 4-6세 4-6세 다른나라 그림책,"2022 미국 아마존 최고의 아동 도서 선정!계절의 변화를 자연스럽게 느끼며,작은 나뭇잎으로 무한한 상상력을 느끼게 하는 그림책!어린이들에게 무한한 상상력과 책 읽는 즐거움을 느끼게 하는 [피카 그림책 시리즈] 일곱 번째 작품 『나뭇잎을 찾으면』이 출간되었습니다. 『나뭇잎을 찾으면』은 작은 나뭇잎을 발견하면서 시작된 소녀의 특별한 하루를 단순하면서도 따뜻하게 담아낸 그림책입니다. “가을에 보내는 달콤하고 시적인 찬가”, “놀라운 상상력과 계절의 자연스러운 변화, 끝없이 펼쳐진 창의력이 빚은 최고의 책”이라 칭송받으며, 2022 미국 아마존 최고의 아동 도서로 선정되었습니다. 어린이들에게 무궁무진한 상상력과 꿈을 키워 주는 수작으로, 어린이들은 『나뭇잎을 찾으면』을 통해 우리 일상에서 쉽게 발견할 수 있는 작은 나뭇잎 하나로 지도에 없는 나만의 세상에서 자유롭게 뛰놀 수 있습니다. 앞뒤 면지에는 가을에만 볼 수 있는 나뭇잎들이 소개되어 있어 어린이들의 호기심을 자극합니다. 책의 맨 끝에는 나뭇잎을 오랫동안 보존할 방법과 나뭇잎으로 놀 수 있는 다양한 방법이 수록되어 있어, 나뭇잎만 줍는다면 누구나 나만의 세상을 꾸며 볼 수 있습니다. 글을 짓고 그림을 그린 에이미 시쿠로가 담아낸 독특한 기법의 그림과 감성적이고, 여운 있는 글은 어린이와 어른 모두에게 예술적 감각과 문학적 감성을 깨워 줍니다."
찍히지 않습니다 3,코노시마 루카,,,,,,,소미미디어,2025년 10월,5850,0.0,0,https://www.yes24.com/product/goods/159582935,192,국내도서 만화 라이트노벨 코믹,청춘 오컬트 붐은 온다!!호러와 개그와 청춘의 절묘한 밸런스!!특훈을 위해 출입 금지 구으로 향한 오컬트부. 오랜만의 과외 활동에 불타는 일행이었지만  ‘금지 구 파괴부대’라는 천벌 받을 유튜버들과 조우하고 원령과의 목숨을 건 놀이에 휘말리게 되는데?!그 외에도 악령 가정교사에 공포의 여름 축제까지… 가슴 두근거리고 술렁거리는 제3권!!
해리 포터와 불의 잔 : 인터랙티브 에디션,J.K. 롤링,,,,,,,문학수첩,2025년 10월,49500,10.0,2,https://www.yes24.com/product/goods/154822078,양,국내도서 소설 시 희곡 장르소설 판타지,"화려한 그림과 기발한 종이 공예로 큰 사랑을 받은 해리 포터 시리즈,더 아름다운 일러스트와 함께 새로운 이름으로 재탄생하다!해리 포터 네 번째 이야기, 『불의 잔: 인터랙티브 에디션』 전 세계 동시 출간!페이지 곳곳에 실려 있는 아름답고 아기자기한 일러스트, 모든 연령대가 즐길 수 있는 흥미진진한 종이 공예로 큰 인기를 끈 ‘해리 포터 미나리마 에디션’이 ‘해리 포터 인터랙티브 에디션(Harry Potter Interactive Edition)’이라는 새로운 이름으로 마법 세계의 모험을 이어간다. 일러스트레이터 칼 제임스 마운트퍼드와 페이퍼 엔지니어 제스 타이스길버트의 손에 재탄생한 『해리 포터와 불의 잔 : 인터랙티브 에디션』이 마침내 출간되었다. 이번에 처음 선보이는 ‘인터랙티브 에디션’에서는 기존의 ‘미나리마 에디션’과는 또 다른 모습의 해리와 친구들, 8가지 공작 요소로 만들어진 색다른 마법사 세계를 만날 수 있다.트라이위드 대회로 시작해, 마법사 세계를 뒤흔들 결정적 사건으로 끝나는 『불의 잔』의 이야기가 완벽하게 담겨 있으며, 거의 모든 페이지에 컬러 삽화가 들어 있다. 독자들은 퀴디치 월드컵 결승전을 보러 간 위즐리 가족의 텐트 속을 탐험하고, 등장인물들과 함께 하늘에 뜬 어둠의 징표를 목격하고, 해리를 따라 검은 호수 안에 들어가 볼 수 있다.J.K. 롤링이 만들어 낸 마법 세계를 더욱 돋보여 줄 컬러 삽화와 기발한 종이 공예로 가득한 이 책은 해리 포터 팬들에게 특별한 기념품이 되는 것은 물론, 책을 사랑하는 모든 독자들이 책장에 소장하고 싶은 아름다운 도서이자, 새로운 세대와 이 시리즈를 공유하는 멋진 방법이 될 것이다."
워런 버핏 삶의 원칙,구와바라 데루야,,,,,,,필름,2025년 07월,22500,9.8,35,https://www.yes24.com/product/goods/149676950,424,국내도서 경제 경영 CEO 비즈니스맨 성공학 경력관리,"★★★★★95년간 워런 버핏의 지혜와 원칙만을 모아놓은 단 하나의 책!★★★★★빌 게이츠, 찰리 멍거, 벤민 그레이엄 등 거장들과의 일화 수록버핏의 삶은 엄격한 원칙 위에서 완성됐다.투자에서도, 인생에서도 그의 성공을 따르고 싶다면 삶의 방식부터 훔쳐야 한다!“투자의 대가, 워런 버핏의 삶에서 최고의 원칙을 얻다.”《워런 버핏 삶의 원칙》은 가치투자의 대가이자 수많은 사람들이 선망하는 워런 버핏의 신념과 행동, 그리고 철학이 어떻게 거대한 성공을 만들어냈는지를 보여주는 일종의 일대기다. 6세부터 90세가 넘는 현재에 이르기까지 버핏의 생애를 다섯 시기로 나누고, 각 시기의 결정적 선택과 그 배경이 된 철학을 그의 실제 발언과 함께 기록했다. 또한 그동안 투자법이나 수치로만 주목받았던 버핏의 성공을, 삶과 그의 어록으로 새롭게 조명했다는 점에서 이 책은 더욱 주목을 받고 있다.이 책에 담긴 말들은 세계 최고 투자자의 명언이지만, 놀랍게도 정작 그 메시지는 ‘돈을 버는 법’이 아니라 ‘삶을 살아가는 태도’에 맞춰져 있다. 버핏은 자신의 원칙을 투자뿐만 아니라, 삶에 있어서도 적용했던 것이었다. “일단 시작하지 않으면 절대 성공할 수 없습니다”, “실패한 방법을 굳이 반복할 필요는 없습니다” 등 버핏의 원칙이 담긴 한 문장 한 문장을 읽어가다 보면 그가 어떤 마음으로 세상을 살아갔는지 뼛속 깊이 느낄 수 있을 것이다.수십 년간 버핏은 주주 서한과 언론매체를 통해 투자뿐 아니라 삶의 본질에 대해 말해왔다. 이 책은 그 메시지 가운데 마음에 새길 만한 365가지 문장을 엄선해 담았으며, 돈을 다루는 방법부터 인간관계, 시간 관리, 성공과 실패에 대한 통찰까지 삶 전반에 적용할 수 있는 실천적 지혜가 담겨 있다. 또한  각 원칙들에는 버핏의 삶과 연관된 뒷이야기가 있어 평소 버핏을 존경하고 궁금해했던 이들에게도 더욱 반가운 책이 될 것이다."
아이의 어휘력을 위한 66일 필사 노트,김종원,,,,,,,데이스타,2025년 04월,16650,9.9,43,https://www.yes24.com/product/goods/145346626,184,국내도서 어린이 3-4학년 3-4학년 자기계발 생활 3-4학년 자기계발,"출간 즉시 베스트셀러, 120만 독자가 사랑하는 인문 교육 멘토김종원 작가가 모은 어린이를 위한 66가지 문장들『김종원의 초등 필사 일력 365』를 통해 특유의 섬세하고 따뜻한 감성과 인문학적 시선이 담긴 문장으로 어린이의 필사 습관을 잡는 데에 큰 도움을 주었던 김종원 작가가 이번에는 『아이의 어휘력을 위한 66일 필사 노트』로 돌아왔습니다. 아이들이 자신만의 성장의 씨앗에 물을 주고 움을 틔울 수 있도록 자존감, 감정, 관계, 태도, 가치, 가능성의 말 66가지를 모았습니다. 주어진 문장을 따라 쓰기만 하는 것이 아니라, 따라 쓰기를 하며 어휘력을 키울 수 있도록 글마다 가장 중요하게 생각하는 단어를 꼽아 사전적 의미도 정리해 두었습니다. ‘66일’이라는 기간은 어떤 행동이 한 사람의 습관으로 자리 잡기 위해 소요되는 최소한의 시간으로, 그동안 매일 필사를 반복함으로써 아이들이 필사를 즐거운 습관으로 여기게 되기를 바라는 마음을 담았습니다.“나는 나의 가능성을 믿어요.” “오늘 하루는 나에게 주어진 가장 값진 선물이에요.” “힘든 일을 해냈을 때의 성취감은 무엇과도 바꿀 수 없는 기쁨을 줘요.” 같은 문장들을 매일 따라 쓰다 보면 어린이는 스스로 해낼 수 있다는 자신감과 자존감을 키울 수 있고, 자신 안에 숨겨진 잠재력을 발견하는 것은 물론이고 자신을 둘러싼 세상에서 끊임없이 배울 것을 발견하는 아이로 자라나게 됩니다. 마음의 키가 큰 아이는 자신이 꾸는 꿈을 이룰 수 있는 단단하고 지혜로운 아이가 되어, 근사한 삶을 살게 될 것입니다.노트를 따로 마련하지 않아도 쉽게 따라 쓰기를 연습할 수 있도록 왼쪽에는 필사 문장을, 오른쪽에는 필사 공간을 마련하였습니다. 특히 필사 공간에는 바른 글씨를 쓸 수 있도록 회색 글씨로 가이드가 잡혀 있어, 또박또박 한 문장씩 따라 쓰는 연습을 할 수 있습니다. 또, ‘생각 연습’ 파트에는 질문이나 빈칸에 자신만의 답을 적어 넣으며 아이들이 자신의 생각과 감정을 구체적으로 표현해 보는 연습을 할 수 있습니다."
열다섯에 곰이라니 2,추정경,,,,,,,다산책방,2024년 08월,12600,9.9,27,https://www.yes24.com/product/goods/130533019,264,국내도서 청소년 청소년 문학,"2024 원북원부산 올해의 책 후속작사전서평단 100인 강력 추천!“난 동물로 변한 지금이 좋아! 비로소 숨 쉬는 것 같거든.”‘동물화’라는 흥미로운 설정으로 청소년뿐만 아니라 길고 어두운 사춘기의 터널을 함께 지나고 있는 부모님과 선생님에게도 많은 사랑을 받은 성장소설 『열다섯에 곰이라니』. ‘2024 원북원부산 올해의 책’을 비롯해 여러 기관의 추천 도서로 선정되며 작품성까지 인정받은 이 책이 1년 반 만에 두 번째 이야기로 돌아왔다. 『열다섯에 곰이라니 2』에서는 다시 벌꿀오소리가 되어버린 영웅, 그런 아들을 따라 동물로 변한 갱년기 엄마, 입만 부리로 바뀐 잣까마귀 섬, 철조망을 넘어 남한으로 온 북한 꽃제비 남매 등 전보다 더욱 진화된 동물들의 이야기가 옴니버스식으로 펼쳐진다. 같은 세계관을 공유하지만 인물들의 사연이 개별적으로 전개되는 구성이라 아직 1권을 읽지 못한 독자들도, 긴 호흡의 읽기물이 부담스러운 독자들도 재미있게 즐길 수 있는 작품이다."
내 맘대로 편의점,김영진,,,,,,,책읽는곰,2025년 09월,13500,9.9,31,https://www.yes24.com/product/goods/152933981,양,국내도서 유아 4-6세 4-6세 우리나라 그림책,"어린이의 일상에 빛을 비추는 작가 김영진 신작“안 돼!”라는 말이 지겨울 땐 내 맘대로 편의점으로 오세요!한솔이네 동네엔 아주아주 신기한 편의점이 있어요.편의점에 가면 두근두근 설레는 마법도, 오싹오싹 짜릿한 마법도마음이 몽글몽글해지는 마법도 모두 만날 수 있지요.뭐든지 다 맘대로 하고 싶다고요? 그럼 내 맘대로 편의점으로 오세요.그런데 뭐든지 다 내 맘대로 할 수 있으면 정말 좋을까요?"
매거진 조이 Vol.2 : 연의 편지,조현아,,,,,,,다산코믹스,2025년 09월,18900,9.7,7,https://www.yes24.com/product/goods/152841851,256,국내도서 만화 라이트노벨 웹툰  네이버 연재,"우연히 발견한 편지로부터 시작된 마법 같은 이야기푸르른 여름의 끝자락을 따스한 감성으로 물들인 웹툰 「연의 편지」「연의 편지」에 의한 「연의 편지」를 위한 단 한 권의 책, 『매거진 조이 Vol.2: 연의 편지』 출간! 국내 최초 웹툰 전문지 『매거진 조이』의 2호 『매거진 조이 Vol.2: 연의 편지』가 출간된다. 다산코믹스는 다산북스의 웹툰 브랜드로, 자사에서 개발한 웹툰 IP인 「시간의 계단」, 「모든 게 착각이었다」 등의 단행본뿐만 아니라 인기 웹툰 IP 「가비지타임」, 「가짜 동맹」, 「오로지 너를 이기고 싶어」 등 웹툰을 좋아하는 독자들이 단행본으로 소장하고 싶어 하는 웹툰 IP를 찾아내서 발 빠르게 선보여 왔다. 다산코믹스는 그동안 쌓아 온 노하우를 담아 국내 최초 웹툰 전문지 『매거진 조이』를 준비하며 2호로 선보일 작품으로 조현아 작가의 웹툰 「연의 편지」를 만장일치로 선정했다.『매거진 조이 Vol.2: 연의 편지』는 네이버웹툰의 인기작 「연의 편지」의 모든 것을 한 권에 담아낸 책이다. 작품 정보와 등장인물 소개부터 원작의 감동을 그대로 옮겨 담은 명장면 다시 보기까지 그야말로 「연의 편지」에 관한 모든 것을 일목요연하게 보여준다. 조현아 작가의 인터뷰와 메이킹 스토리를 통해 「연의 편지」가 웹툰으로 탄생하기까지의 과정을 생생히 들여다볼 수 있고, 「연의 편지」를 둘러싼 다양한 시선이 담긴 여섯 편의 리뷰는 읽는 이로 하여금 입체적인 시야로 작품의 깊이를 만끽하게 해준다. ‘「연의 편지」 독서 활동’, ‘전국연합덕력평가’ 등 「연의 편지」의 세계를 탐구하고자 하는 팬이라면 누구나 재미있게 즐길 수 있는 다양한 놀거리가 마련되어 있는 것 또한 이 책의 매력 포인트다. 오직 『매거진 조이』에서만 만나볼 수 있는 특별 외전 시 책의 소장 가치를 높이는 요소다. 그동안 어디서도 공개된 적 없는 이번 외전은 조현아 작가가 『매거진 조이』의 독자들에게 전하는 다정한 편지로, 「연의 편지」 완결 후 많은 독자들이 궁금해했던 소리·호연·동순 세 사람의 뒷이야기가 담겨 있다."
행동은 불안을 이긴다,롭 다이얼,,,,,,,서삼독,2025년 04월,18000,9.5,62,https://www.yes24.com/product/goods/144868899,344,국내도서 자기계발 처세술 삶의 자세,"현재 미국에서 가장 떠오르는 자기계발 멘토이자 동기부여 전문가인 롭 다이얼이 행동하기를 주하는 이들의 문제점을 분석하고, 이를 타개할 실천적 방법을 제시하기 위해 『행동은 불안을 이긴다』를 펴냈다. 출간 즉시 아마존 4개 분야의 1위를 달성하며 베스트셀러가 된 이 책은 토니 로빈스, 앤드류 후버만, 주언규PD, 드로우앤드류, 기록친구 리니 등 국내외 자기계발 리더들의 극찬을 받았으며, 의지박약과 만성적 미루기에서 벗어나는 하나의 해답, ‘아주 작은 행동 설계법’을 소개한다. 이 책은 아주 작은 행동 설계에 필요한 딱 두 가지의 핵심을 전한다. 존재하지 않는 공포와 불안에 속아 현실에 안주하는 마음을 버릴 것. 그리고 몸이 먼 움직이는 행동 자동화 패턴을 익힐 것. 책에서 제시하는 방법들을 하나씩 완수하고, 몸으로 익힐 때 비로소 의지박약과 만성적 미루기에서 벗어나 행동하는 인생으로 나아갈 수 있을 것이다.말만으로는 인생을 바꿀 수 없다. 귀찮음을 이기고 침대 밖으로 한 발을 내딛는 순간 하루가 절로 시작되듯, 노트북의 전원 버튼을 켜는 순간 오늘의 할 일을 시작하듯, 책의 첫 번째 페이지를 넘기는 순간 독서를 시작하듯, 몸이 먼 반응하는 1%의 행동 변화가 지금과는 다른 인생을 만들어낼 것이다. 자가 몸소 증명해낸 ‘행동 자동화 패턴’을 통해 당신의 숨은 잠재력을 폭발시키고, 원하는 목표를 이루는 순간을 맞이하길 바란다."
환율의 대전환,오건영,,,,,,,포레스트북스,2025년 02월,24300,9.7,146,https://www.yes24.com/product/goods/142605459,420,국내도서 경제 경영 경제 각국 경제 경제사 전망 경제전망,"“주식도 부동산도 불안한 지금,부자들은 왜 달러, 엔, 금에 주목하는가”달러, 엔, 금의 메가 트렌드와 현명한 투자 방법을 담은 한 권의 책*** 50만 독자가 열광한 『부의 대이동』, 『위기의 사』 자의 최신작*** tvN 〈유퀴즈〉, CBS 〈세바시〉 출연 화제의 인물*** 뉴스를 보는 눈이 트이는 특별부록 「오건영의 시크릿 경제 클래스」 수록세계 경제를 둘러싼 금리라는 환경의 체질이 바뀌고 있다. 이런 상황 속에서 달러, 엔, 금 같은 주요 통화는 어떤 흐름을 이어가게 될까. 지금까지의 패턴을 그대로 유지할지, 아니면 그동안은 보지 못했던 큰 변화가 벌어질지 단언할 수 없는 지금이다. 이에 대한민국 최고의 거시경제전문가 오건영 자는 이번 신간을 통해 지금의 흐릿한 경제 상황을 제대로 바라볼 수 있는 인사이트를 전한다. IMF 외환위기 처음으로 나타난 달러원 환율 1400원, 엔화의 초강세, 연일 최고점을 갱신하는 금 가격까지 지금의 이슈를 만들어 낸 원인을 분석하고, 앞으로의 시나리오를 제시하며 현명한 투자 방법에 대한 조언까지 아끼지 않는다."
귀멸의 칼날 공식 팬북 귀살대 견문록,고토게 코요하루,,,,,,,학산문화사,2020년 09월,8550,9.8,195,https://www.yes24.com/product/goods/93224388,216,국내도서 만화 라이트노벨 판타지,"TV애니메이션 화제작! 일본에서 작품 시리즈 누계 8,000만 부 돌파!!첫 연재작으로 엄청난 화제를 몰고 있는 『귀멸의 칼날』의 공식 팬북. 도깨비에게 가족을 잃고, 도깨비로 변모한 누이동생을 인간으로 되돌리기 위해 모험을 떠나는 남주인공의 성장 모험기를 중심으로 다양한 인물들의 이야기가 흥미롭게 전개되는 작품의 팬북으로 『귀멸의 칼날』 독자라면 반드시 소장해야 할 단행본이다."
단추 전쟁,앤드루 클레먼츠,,,,,,,책과콩나무,2020년 04월,10800,9.8,21,https://www.yes24.com/product/goods/90074720,208,국내도서 어린이 3-4학년 3-4학년 그림 동화책 3-4학년 창작동화,"한 번 시작되면 끝내기 힘든 유행. 하지만 그건 우정도 마찬가지!  모든 시기에는 유행이 있다. 아이들은 무언가의 유행이 시작되면 사뭇 진지해진다. 더 특별한 것을 더 많이 얻기 위해 수단과 방법을 가리지 않고 덤벼들며 정복하려 한다. 앤드류 클레먼츠는 ‘단추’로 이 모든 이야기를 엮어냈다. 작은 단추 하나에 사와 추억, 사람과 감정이 담겨 있는 ‘진귀한’ 것으로 의미를 불어넣었고, 보잘것없던 단추는 아이들이 열광하고 경쟁하는 가장 가치 있는 것이 되었다. 사소한 단추는 규칙을 지켜야 하는 놀이가 되고 나아가 거대한 세계가 된다. 시종일관 긴장의 끈을 놓을 수 없는 장면들의 연속에서 아슬아슬 파고드는 심리전을 세심하게 보여준다. 단추를 거래하고 논쟁하면서 ‘감정 전쟁’을 하는 아이들을 통해 진정한 우정 관계의 의미와 책임감을 깨닫게 해 준다."
Again! 뒤집어본 영문법,오성호,,,,,,,김영사,2006년 05월,13410,9.3,66,https://www.yes24.com/product/goods/2104859,479,국내도서 국어 외국어 사전 영어 영어 독해 문법 작문 번 영문법,"10년간 입소문으로 릴레이 추천을 받은 화제의 문법책. 읽다보면 영어에 대한 큰 그림이 잡힌다. 1990년대 중반 당시로는 구하기 힘든 양질의 영어컨텐츠를 경제, 회화, 일기, 독해 여러 분야에 걸쳐 무상으로 제공하고, 해외의 좋은 영어학습서를 국내에 소개하고, 올바른 영어공부법을 안내하며, 순식간에 영어공부의 키워드로 떠오른 온라인사이트 네오퀘스트 군단의 대표작 『뒤집어본 영문법』의 개정판이다. 위에서 아래를 내려다보듯 영어의 큰그림을 잡게 해주는 기존의 구성에 형식과 내용을 보완하여 새로 출간되었다."
원피스 ONE PIECE 111,오다 에이이치로,,,,,,,대원,2025년 06월,5400,9.8,228,https://www.yes24.com/product/goods/147789038,222,국내도서 만화 라이트노벨 액션,책소개 없음
부의 인문학 (20만부 기념 개정증보판),브라운스톤(우석),,,,,,,오픈마인드,2022년 03월,15300,9.1,255,https://www.yes24.com/product/goods/107666677,332,국내도서 경제 경영 CEO 비즈니스맨 성공학 경력관리,"2년 만에 20만 부를 넘어선 특급 베스트셀러!더 깊어진 생각, 더 풍부해진 경험으로 완성한 개정 증보판!책속에서 찾아낸 투자 인문학의 연금술우석은 무엇보다 독서에 열정적이며 책에서 배운 지식을 지혜의 틀로 걸러 ‘자본주의 게임에서 승리하는 법’을 터득한 성공한 투자가다. 철학자들의 통찰을 통해 나만의 투자 무기를 얻을 수 있게 이끄는가 하면, 노벨 경제학상 수상자들의 이론을 바탕으로 한국 시장을 이해하고 자신감 있게 투자할 수 있도록 격려한다. 부동산도 주식도 결국 자본주의 게임의 트랙 위에 있음을 깨닫게 해준다. 성공한 실전 투자가가 현장 경험으로 필터링한 인문학은 철학이나 경제학에 문외한인 사람도 거인의 눈으로 시장을 바라볼 수 있도록 이끈다. 거인의 어깨 위에서 보는 돈이 움직이는 길네이버 카페 ‘부동산 스터디’의 최고 인기 논객인 우석이 올린 예측 글은 ‘예언’으로 통한다. ‘성지순례’ 오는 180만 회원들이 그의 프로필을 대변한다. 하지만 그는 자신의 전망이 개인적인 경험이나 생각에서만 나온 것은 아니라고 말한다. 자신의 전망이 마치 예언처럼 딱딱 들어맞는 것은 자신이 ‘거인의 어깨’ 위에 올라앉아서 돈이 움직이는 길을 바라보고 있기 때문이라는 설명이다. 200년 전 경제학 이론이 오늘의 세계를 너무도 정확히 설명하고 있음을 확인하는 순간 “시 우석은 우석이다!” 절로 고개를 끄덕이게 된다. 노벨 경제학상을 수상한 천재들이 세상을 읽는 탁월한 통찰력, 돈이 움직이는 방향과 투자의 길, 부의 작동원리를 간파한 통섭의 결정판이다.성공한 한국형 투자가의 경험과 지혜그는 한국 투자시장에서 성공의 길을 개척한 실전 투자가다. 신혼집 전세금으로 시작한 투자에서 롤러코스터도 여러 번 탔다. 하지만 부의 작동원리를 터득한 뒤 인생을 즐기기에 충분한 부를 달성했고, 오랫동안 꿈꾸던 자유를 찾아 40대 초반에 은퇴했다. 물론 그 뒤로도 그의 자산은 꾸준히 늘어나고 있고, 그만큼 실전 투자 경험도 축적되면서 안팎으로 탄탄한 투자가로서의 입지를 굳히고 있다. 이 책은 수익률로 검증된 경험과 지혜를 솔직 담백한 화법으로 담아 투자 인문학의 새 지평을 열었다. 격동하는 한국 투자시장에서 살아남은 투자가의 거친 숨소리가 고스란히 담겨 있어, 바로 오늘 투자 시장에서 고투하고 있는 당신에게 길을 알려주는 등대가 될 것이다."
